,id,date,store_nbr,family,sales,onpromotion
0,0,2013-01-01,1,AUTOMOTIVE,0.0,0
1,1,2013-01-01,1,BABY CARE,0.0,0
2,2,2013-01-01,1,BEAUTY,0.0,0
3,3,2013-01-01,1,BEVERAGES,0.0,0
4,4,2013-01-01,1,BOOKS,0.0,0
5,5,2013-01-01,1,BREAD/BAKERY,0.0,0
6,6,2013-01-01,1,CELEBRATION,0.0,0
7,7,2013-01-01,1,CLEANING,0.0,0
8,8,2013-01-01,1,DAIRY,0.0,0
9,9,2013-01-01,1,DELI,0.0,0
10,10,2013-01-01,1,EGGS,0.0,0
11,11,2013-01-01,1,FROZEN FOODS,0.0,0
12,12,2013-01-01,1,GROCERY I,0.0,0
13,13,2013-01-01,1,GROCERY II,0.0,0
14,14,2013-01-01,1,HARDWARE,0.0,0
15,15,2013-01-01,1,HOME AND KITCHEN I,0.0,0
16,16,2013-01-01,1,HOME AND KITCHEN II,0.0,0
17,17,2013-01-01,1,HOME APPLIANCES,0.0,0
18,18,2013-01-01,1,HOME CARE,0.0,0
19,19,2013-01-01,1,LADIESWEAR,0.0,0
20,20,2013-01-01,1,LAWN AND GARDEN,0.0,0
21,21,2013-01-01,1,LINGERIE,0.0,0
22,22,2013-01-01,1,"LIQUOR,WINE,BEER",0.0,0
23,23,2013-01-01,1,MAGAZINES,0.0,0
24,24,2013-01-01,1,MEATS,0.0,0
25,25,2013-01-01,1,PERSONAL CARE,0.0,0
26,26,2013-01-01,1,PET SUPPLIES,0.0,0
27,27,2013-01-01,1,PLAYERS AND ELECTRONICS,0.0,0
28,28,2013-01-01,1,POULTRY,0.0,0
29,29,2013-01-01,1,PREPARED FOODS,0.0,0
30,30,2013-01-01,1,PRODUCE,0.0,0
31,31,2013-01-01,1,SCHOOL AND OFFICE SUPPLIES,0.0,0
32,32,2013-01-01,1,SEAFOOD,0.0,0
33,33,2013-01-01,10,AUTOMOTIVE,0.0,0
34,34,2013-01-01,10,BABY CARE,0.0,0
35,35,2013-01-01,10,BEAUTY,0.0,0
36,36,2013-01-01,10,BEVERAGES,0.0,0
37,37,2013-01-01,10,BOOKS,0.0,0
38,38,2013-01-01,10,BREAD/BAKERY,0.0,0
39,39,2013-01-01,10,CELEBRATION,0.0,0
40,40,2013-01-01,10,CLEANING,0.0,0
41,41,2013-01-01,10,DAIRY,0.0,0
42,42,2013-01-01,10,DELI,0.0,0
43,43,2013-01-01,10,EGGS,0.0,0
44,44,2013-01-01,10,FROZEN FOODS,0.0,0
45,45,2013-01-01,10,GROCERY I,0.0,0
46,46,2013-01-01,10,GROCERY II,0.0,0
47,47,2013-01-01,10,HARDWARE,0.0,0
48,48,2013-01-01,10,HOME AND KITCHEN I,0.0,0
49,49,2013-01-01,10,HOME AND KITCHEN II,0.0,0
50,50,2013-01-01,10,HOME APPLIANCES,0.0,0
51,51,2013-01-01,10,HOME CARE,0.0,0
52,52,2013-01-01,10,LADIESWEAR,0.0,0
53,53,2013-01-01,10,LAWN AND GARDEN,0.0,0
54,54,2013-01-01,10,LINGERIE,0.0,0
55,55,2013-01-01,10,"LIQUOR,WINE,BEER",0.0,0
56,56,2013-01-01,10,MAGAZINES,0.0,0
57,57,2013-01-01,10,MEATS,0.0,0
58,58,2013-01-01,10,PERSONAL CARE,0.0,0
59,59,2013-01-01,10,PET SUPPLIES,0.0,0
60,60,2013-01-01,10,PLAYERS AND ELECTRONICS,0.0,0
61,61,2013-01-01,10,POULTRY,0.0,0
62,62,2013-01-01,10,PREPARED FOODS,0.0,0
63,63,2013-01-01,10,PRODUCE,0.0,0
64,64,2013-01-01,10,SCHOOL AND OFFICE SUPPLIES,0.0,0
65,65,2013-01-01,10,SEAFOOD,0.0,0
66,66,2013-01-01,11,AUTOMOTIVE,0.0,0
67,67,2013-01-01,11,BABY CARE,0.0,0
68,68,2013-01-01,11,BEAUTY,0.0,0
69,69,2013-01-01,11,BEVERAGES,0.0,0
70,70,2013-01-01,11,BOOKS,0.0,0
71,71,2013-01-01,11,BREAD/BAKERY,0.0,0
72,72,2013-01-01,11,CELEBRATION,0.0,0
73,73,2013-01-01,11,CLEANING,0.0,0
74,74,2013-01-01,11,DAIRY,0.0,0
75,75,2013-01-01,11,DELI,0.0,0
